704,713,712
704,713,712
704,713,712
697,704,706
697,697,703
697,697,703
693,697,699
757,697,722
757,697,722
692,693,710
698,698,705
728,698,714
728,698,714
697,698,707
699,699,704
699,699,704
702,699,703
692,699,699
692,699,699
715,702,705
697,697,702
697,697,702
702,702,702
739,702,717
693,702,708
693,702,708
695,695,702
693,693,699
693,693,699
693,693,697
737,693,713
737,693,713
703,703,709
697,703,704
697,703,704
743,703,720
693,697,709
693,697,709
702,702,706
695,695,702
700,700,701
700,700,701
692,695,698
701,700,699
701,700,699
697,697,698
709,701,703
709,701,703
695,697,699
698,698,699
698,698,699
710,698,703
695,698,700
695,698,700
695,695,698
704,695,700
699,699,700
699,699,700
713,704,705
698,699,702
698,699,702
695,698,699
743,698,717
743,698,717
697,697,709
694,697,703
694,697,703
696,696,700
701,696,700
701,696,700
789,701,736
702,702,722
695,702,711
695,702,711
732,702,720
701,701,712
701,701,712
703,703,708
698,701,704
698,701,704
697,698,701
695,697,699
695,697,699
692,695,696
693,693,695
693,693,695
692,692,694
701,693,697
691,692,694
691,692,694
704,701,698
690,691,695
690,691,695
696,696,696
691,691,694
691,691,694
695,695,694
734,695,710
734,695,710
689,695,702
